"","Department","Position","Place.of.Residence","PositionID"
"40831","University of Northern Iowa","CLERK III","BENTON",40831
"40832","University of Northern Iowa","CLERK III","BEXAR",40832
"40833","University of Northern Iowa","CLERK III","BLACK HAWK",40833
"40834","University of Northern Iowa","CLERK III","BREMER",40834
"40835","University of Northern Iowa","CLERK III","BUCHANAN",40835
"40836","University of Northern Iowa","CLERK III","BUTLER",40836
"40837","University of Northern Iowa","CLERK III","DOUGLAS",40837
"40838","University of Northern Iowa","CLERK III","FAYETTE",40838
"40839","University of Northern Iowa","CLERK III","GRUNDY",40839
"40840","University of Northern Iowa","CLERK III","LEE",40840
"40841","University of Northern Iowa","CLERK III","LUCAS",40841
"40842","University of Northern Iowa","CLERK III","POLK",40842
"40843","University of Northern Iowa","CLERK III","SCOTT",40843
"40844","University of Northern Iowa","CLERK III","TAMA",40844
"40845","University of Northern Iowa","CLERK IV","BLACK HAWK",40845
"40846","University of Northern Iowa","CLERK IV","BREMER",40846
"40847","University of Northern Iowa","CLERK IV","BUTLER",40847
"40848","University of Northern Iowa","CLERK IV","GRUNDY",40848
"40849","University of Northern Iowa","CLERK IV","LAKE",40849
"40850","University of Northern Iowa","CLERK IV SUPERVISORY","BLACK HAWK",40850
"40851","University of Northern Iowa","CLERK TYPIST","BLACK HAWK",40851
"40852","University of Northern Iowa","CLERK TYPIST","BREMER",40852
"40853","University of Northern Iowa","CLERK TYPIST","FAYETTE",40853
"40854","University of Northern Iowa","CLERK TYPIST","GUTHRIE",40854
"40855","University of Northern Iowa","CLERK TYPIST","MADISON",40855
"40856","University of Northern Iowa","CLERK TYPIST","OTOE",40856
"40857","University of Northern Iowa","CLERK TYPIST II","BLACK HAWK",40857
"40858","University of Northern Iowa","CLERK TYPIST III","BLACK HAWK",40858
"40859","University of Northern Iowa","CLINIC DIRECTOR","BLACK HAWK",40859
"40860","University of Northern Iowa","CLINIC DIRECTOR","DENTON",40860
"40861","University of Northern Iowa","CLINIC DIRECTOR","GRUNDY",40861
"40862","University of Northern Iowa","CLINICAL LAB TECHNOLOG","BLACK HAWK",40862
"40863","University of Northern Iowa","CLUB ROOM WORKER","BLACK HAWK",40863
"40864","University of Northern Iowa","CLUB ROOM WORKER","CEDAR",40864
"40865","University of Northern Iowa","CLUB ROOM WORKER","DUBUQUE",40865
"40866","University of Northern Iowa","CO-DEFENSIVE COORDINAT","BLACK HAWK",40866
"40867","University of Northern Iowa","CO-DEFENSIVE COORDINAT","CASS",40867
"40868","University of Northern Iowa","CO-OFFENSIVE COORDINAT","BLACK HAWK",40868
"40869","University of Northern Iowa","COACHING ASSISTANT","BLACK HAWK",40869
"40870","University of Northern Iowa","COACHING ASSISTANT","CHICKASAW",40870
"40871","University of Northern Iowa","COACHING ASSISTANT","DUBUQUE",40871
"40872","University of Northern Iowa","COACHING ASSISTANT","JONES",40872
"40873","University of Northern Iowa","COACHING ASSISTANT","MARION",40873
"40874","University of Northern Iowa","COACHING ASSISTANT","WASHINGTON",40874
"40875","University of Northern Iowa","COLLECTION MANAGEMENT","BLACK HAWK",40875
"40876","University of Northern Iowa","COLLECTION STRATEGIST","BLACK HAWK",40876
"40877","University of Northern Iowa","COLLECTIONS MANAGER","BLACK HAWK",40877
"40878","University of Northern Iowa","COLLECTIONS MANAGER","LANCASTER",40878
"40879","University of Northern Iowa","COLUMNIST","BLACK HAWK",40879
"40880","University of Northern Iowa","COMMUNICATION & GRANTS","BLACK HAWK",40880
"40881","University of Northern Iowa","COMMUNICATION & MARKET","SCOTT",40881
"40882","University of Northern Iowa","COMMUNICATION & OPERAT","BLACK HAWK",40882
"40883","University of Northern Iowa","COMMUNICATION COORDINA","BLACK HAWK",40883
"40884","University of Northern Iowa","COMMUNICATIONS & MARKE","BLACK HAWK",40884
"40885","University of Northern Iowa","COMMUNICATIONS & MARKE","FAYETTE",40885
"40886","University of Northern Iowa","COMMUNICATIONS & MARKE","POLK",40886
"40887","University of Northern Iowa","COMMUNICATIONS & PUBLI","BLACK HAWK",40887
"40888","University of Northern Iowa","COMMUNICATIONS AND PUB","BLACK HAWK",40888
"40889","University of Northern Iowa","COMMUNICATIONS AND PUB","HARDIN",40889
"40890","University of Northern Iowa","COMMUNICATIONS AND PUB","PIMA",40890
"40891","University of Northern Iowa","COMMUNICATIONS COORDIN","BLACK HAWK",40891
"40892","University of Northern Iowa","COMMUNICATIONS COORDIN","HARRISON",40892
"40893","University of Northern Iowa","COMMUNICATIONS SPECIAL","BLACK HAWK",40893
"40894","University of Northern Iowa","COMMUNICATIONS TECHNIC","BENTON",40894
"40895","University of Northern Iowa","COMMUNICATIONS TECHNIC","BLACK HAWK",40895
"40896","University of Northern Iowa","COMMUNICATIVE DISORDER","BLACK HAWK",40896
"40897","University of Northern Iowa","COMMUNICATIVE DISORDER","GRUNDY",40897
"40898","University of Northern Iowa","COMMUNITY PARTNERSHIPS","BLACK HAWK",40898
"40899","University of Northern Iowa","COMMUNITY RELATIONS MA","BLACK HAWK",40899
"40900","University of Northern Iowa","COMPUTER ASSISTANT","BLACK HAWK",40900
"40901","University of Northern Iowa","COMPUTER ASSISTANT","BOONE",40901
"40902","University of Northern Iowa","COMPUTER ASSISTANT","CHICKASAW",40902
"40903","University of Northern Iowa","COMPUTER ASSISTANT","CLINTON",40903
"40904","University of Northern Iowa","COMPUTER ASSISTANT","CRAWFORD",40904
"40905","University of Northern Iowa","COMPUTER ASSISTANT","DES MOINES",40905
"40906","University of Northern Iowa","COMPUTER ASSISTANT","DUBUQUE",40906
"40907","University of Northern Iowa","COMPUTER ASSISTANT","FAYETTE",40907
"40908","University of Northern Iowa","COMPUTER ASSISTANT","KOSSUTH",40908
"40909","University of Northern Iowa","COMPUTER ASSISTANT","WOODBURY",40909
"40910","University of Northern Iowa","COMPUTER CONSULTING CE","BLACK HAWK",40910
"40911","University of Northern Iowa","COMPUTER CONSULTING CE","GRUNDY",40911
"40912","University of Northern Iowa","COMPUTER LAB ASSISTANT","BLACK HAWK",40912
"40913","University of Northern Iowa","COMPUTER LAB ASSISTANT","CARROLL",40913
"40914","University of Northern Iowa","COMPUTER LAB ASSISTANT","CLAY",40914
"40915","University of Northern Iowa","COMPUTER LAB ASSISTANT","DALLAS",40915
"40916","University of Northern Iowa","COMPUTER LAB ASSISTANT","DELAWARE",40916
"40917","University of Northern Iowa","COMPUTER LAB ASSISTANT","DES MOINES",40917
"40918","University of Northern Iowa","COMPUTER LAB ASSISTANT","DUBUQUE",40918
"40919","University of Northern Iowa","COMPUTER LAB ASSISTANT","HANCOCK",40919
"40920","University of Northern Iowa","COMPUTER LAB ASSISTANT","HOWARD",40920
"40921","University of Northern Iowa","COMPUTER LAB ASSISTANT","IOWA",40921
"40922","University of Northern Iowa","COMPUTER LAB ASSISTANT","KEOKUK",40922
"40923","University of Northern Iowa","COMPUTER LAB ASSISTANT","MISSOULA",40923
"40924","University of Northern Iowa","COMPUTER LAB ASSISTANT","POLK",40924
"40925","University of Northern Iowa","COMPUTER LAB ASSISTANT","WOODBURY",40925
"40926","University of Northern Iowa","COMPUTER LAB SUPERVISO","BLACK HAWK",40926
"40927","University of Northern Iowa","COMPUTER LAB SUPERVISO","MARSHALL",40927
"40928","University of Northern Iowa","COMPUTER LAB SUPERVISO","POCAHONTAS",40928
"40929","University of Northern Iowa","COMPUTER NETWORK SYSTE","BLACK HAWK",40929
"40930","University of Northern Iowa","COMPUTER NETWORK SYSTE","ST JOHNS",40930
"40931","University of Northern Iowa","COMPUTER TECHNICIAN","BLACK HAWK",40931
"40932","University of Northern Iowa","COMPUTER TECHNICIAN","BREMER",40932
"40933","University of Northern Iowa","COMPUTER TECHNICIAN","BUTLER",40933
"40934","University of Northern Iowa","COMPUTER TECHNICIAN","CERRO GORDO",40934
"40935","University of Northern Iowa","COMPUTER TECHNICIAN","CHICKASAW",40935
"40936","University of Northern Iowa","COMPUTER TECHNICIAN","DUBUQUE",40936
"40937","University of Northern Iowa","COMPUTER TECHNICIAN","MARSHALL",40937
"40938","University of Northern Iowa","COMPUTER TECHNICIAN","WOODBURY",40938
"40939","University of Northern Iowa","COMPUTING INFO SYS TEC","BLACK HAWK",40939
"40940","University of Northern Iowa","CONCERT SECURITY","DUBUQUE",40940
"40941","University of Northern Iowa","CONCERT SECURITY","SUMMIT",40941
"40942","University of Northern Iowa","CONCESSION & RETAIL OP","BLACK HAWK",40942
"40943","University of Northern Iowa","CONCESSIONS WORKER","BLACK HAWK",40943
"40944","University of Northern Iowa","CONCESSIONS WORKER","BUCHANAN",40944
"40945","University of Northern Iowa","CONCESSIONS WORKER","CLAY",40945
"40946","University of Northern Iowa","CONCESSIONS WORKER","MAHASKA",40946
"40947","University of Northern Iowa","CONCESSIONS WORKER","WASHINGTON",40947
"40948","University of Northern Iowa","CONFERENCE ASSISTANT","BLACK HAWK",40948
"40949","University of Northern Iowa","CONFERENCE ASSISTANT","BUENA VISTA",40949
"40950","University of Northern Iowa","CONSTRUCTION PROJECT M","BLACK HAWK",40950
"40951","University of Northern Iowa","CONSTRUCTION PROJECT M","GRUNDY",40951
"40952","University of Northern Iowa","CONSULTING ASSISTANT","BLACK HAWK",40952
"40953","University of Northern Iowa","CONSULTING ASSISTANT","DUBUQUE",40953
"40954","University of Northern Iowa","CONSULTING ASSISTANT","JASPER",40954
"40955","University of Northern Iowa","CONSULTING ASSISTANT","MARION",40955
"40956","University of Northern Iowa","CONSULTING ASSISTANT","SCOTT",40956
"40957","University of Northern Iowa","CONSULTING ASSISTANT","WOODBURY",40957
"40958","University of Northern Iowa","CONTRACTS & FIELD SUPE","BLACK HAWK",40958
"40959","University of Northern Iowa","CONTRACTS & FIELD SUPE","LINN",40959
"40960","University of Northern Iowa","CONTROLLER/SECRETARY/T","BLACK HAWK",40960
"40961","University of Northern Iowa","CONTROLLER/SECRETARY/T","GRUNDY",40961
"40962","University of Northern Iowa","COOK I","BENTON",40962
"40963","University of Northern Iowa","COOK I","BLACK HAWK",40963
"40964","University of Northern Iowa","COOK I","BREMER",40964
"40965","University of Northern Iowa","COOK I","BUCHANAN",40965
"40966","University of Northern Iowa","COOK I","BUTLER",40966
"40967","University of Northern Iowa","COOK I","CHICKASAW",40967
"40968","University of Northern Iowa","COOK I","COOK",40968
"40969","University of Northern Iowa","COOK I","DALLAS",40969
"40970","University of Northern Iowa","COOK I","GRUNDY",40970
"40971","University of Northern Iowa","COOK I","TAMA",40971
"40972","University of Northern Iowa","COOK I","WASHINGTON",40972
"40973","University of Northern Iowa","COOPERATIVE EDUCATION","BLACK HAWK",40973
"40974","University of Northern Iowa","COORD DIGITAL DESIGN","BLACK HAWK",40974
"40975","University of Northern Iowa","COORD FACS, SPORTS CLU","BLACK HAWK",40975
"40976","University of Northern Iowa","COORD INSTRUCTIONAL SE","BLACK HAWK",40976
"40977","University of Northern Iowa","COORD INTERIOR DESIGN","BLACK HAWK",40977
"40978","University of Northern Iowa","COORD MINORITY & STUDE","BLACK HAWK",40978
"40979","University of Northern Iowa","COORD MULTIMEDIA DISTR","BLACK HAWK",40979
"40980","University of Northern Iowa","COORD NEW STUDENT PROG","BLACK HAWK",40980
"40981","University of Northern Iowa","COORD STUDENT STATISTI","BLACK HAWK",40981
"40982","University of Northern Iowa","COORD UNI/DMACC 2+2 &","CARROLL",40982
"40983","University of Northern Iowa","COORD/AQUATICS, CERT &","BLACK HAWK",40983
"40984","University of Northern Iowa","COORDINATOR","BLACK HAWK",40984
"40985","University of Northern Iowa","COORDINATOR IV","BLACK HAWK",40985
"40986","University of Northern Iowa","COORDINATOR OF SPECIAL","BLACK HAWK",40986
"40987","University of Northern Iowa","COORDINATOR OF SPECIAL","DOUGLAS",40987
"40988","University of Northern Iowa","COORDINATOR, 2+2 PROGR","BLACK HAWK",40988
"40989","University of Northern Iowa","COORDINATOR/CDC & INST","BLACK HAWK",40989
"40990","University of Northern Iowa","CORE EVALUATOR","CALHOUN",40990
"40991","University of Northern Iowa","CORE EVALUATOR","DELAWARE",40991
"40992","University of Northern Iowa","CORPORATE & COMMUNITY","BLACK HAWK",40992
"40993","University of Northern Iowa","CORPORATE SUPPORT SPEC","BLACK HAWK",40993
"40994","University of Northern Iowa","COUNSELING CENTER DIRE","BLACK HAWK",40994
"40995","University of Northern Iowa","COUNSELING DIRECTOR","BLACK HAWK",40995
"40996","University of Northern Iowa","COUNSELOR","BLACK HAWK",40996
"40997","University of Northern Iowa","COUNSELOR","BREMER",40997
"40998","University of Northern Iowa","COUNSELOR","JOHNSON",40998
"40999","University of Northern Iowa","COUNSELOR","POLK",40999
"41000","University of Northern Iowa","COUNSELOR/ASST DIR CLI","BLACK HAWK",41000
"41001","University of Northern Iowa","CURATOR","BLACK HAWK",41001
"41002","University of Northern Iowa","CUSTODIAN","ALLAMAKEE",41002
"41003","University of Northern Iowa","CUSTODIAN","BLACK HAWK",41003
"41004","University of Northern Iowa","CUSTODIAN","BROWN",41004
"41005","University of Northern Iowa","CUSTODIAN","BUCHANAN",41005
"41006","University of Northern Iowa","CUSTODIAN","BUENA VISTA",41006
"41007","University of Northern Iowa","CUSTODIAN","BUTLER",41007
"41008","University of Northern Iowa","CUSTODIAN","CLAYTON",41008
"41009","University of Northern Iowa","CUSTODIAN","CLINTON",41009
"41010","University of Northern Iowa","CUSTODIAN","CRAWFORD",41010
"41011","University of Northern Iowa","CUSTODIAN","DALLAS",41011
"41012","University of Northern Iowa","CUSTODIAN","DES MOINES",41012
"41013","University of Northern Iowa","CUSTODIAN","DUBUQUE",41013
"41014","University of Northern Iowa","CUSTODIAN","HARDIN",41014
"41015","University of Northern Iowa","CUSTODIAN","JEFFERSON",41015
"41016","University of Northern Iowa","CUSTODIAN","JOHNSON",41016
"41017","University of Northern Iowa","CUSTODIAN","LEE",41017
"41018","University of Northern Iowa","CUSTODIAN","LINN",41018
"41019","University of Northern Iowa","CUSTODIAN","MARION",41019
"41020","University of Northern Iowa","CUSTODIAN","MUSCATINE",41020
"41021","University of Northern Iowa","CUSTODIAN","PLYMOUTH",41021
"41022","University of Northern Iowa","CUSTODIAN","POCAHONTAS",41022
"41023","University of Northern Iowa","CUSTODIAN","POLK",41023
"41024","University of Northern Iowa","CUSTODIAN","POTTAWATTAM",41024
"41025","University of Northern Iowa","CUSTODIAN","POWESHIEK",41025
"41026","University of Northern Iowa","CUSTODIAN","SARPY",41026
"41027","University of Northern Iowa","CUSTODIAN","SCOTT",41027
"41028","University of Northern Iowa","CUSTODIAN","SIOUX",41028
"41029","University of Northern Iowa","CUSTODIAN","STORY",41029
"41030","University of Northern Iowa","CUSTODIAN","TAMA",41030
"41031","University of Northern Iowa","CUSTODIAN","WAPELLO",41031
"41032","University of Northern Iowa","CUSTODIAN","WRIGHT",41032
"41033","University of Northern Iowa","CUSTODIAN I","ALLAMAKEE",41033
"41034","University of Northern Iowa","CUSTODIAN I","BENTON",41034
"41035","University of Northern Iowa","CUSTODIAN I","BLACK HAWK",41035
"41036","University of Northern Iowa","CUSTODIAN I","BREMER",41036
"41037","University of Northern Iowa","CUSTODIAN I","BUCHANAN",41037
"41038","University of Northern Iowa","CUSTODIAN I","BUTLER",41038
"41039","University of Northern Iowa","CUSTODIAN I","CHICKASAW",41039
"41040","University of Northern Iowa","CUSTODIAN I","CLAY",41040
"41041","University of Northern Iowa","CUSTODIAN I","DELAWARE",41041
"41042","University of Northern Iowa","CUSTODIAN I","FAYETTE",41042
"41043","University of Northern Iowa","CUSTODIAN I","GRUNDY",41043
"41044","University of Northern Iowa","CUSTODIAN I","JOSEPHINE",41044
"41045","University of Northern Iowa","CUSTODIAN I","LA PORTE",41045
"41046","University of Northern Iowa","CUSTODIAN I","TAMA",41046
"41047","University of Northern Iowa","CUSTODIAN I","WASHINGTON",41047
"41048","University of Northern Iowa","CUSTODIAN II","BLACK HAWK",41048
"41049","University of Northern Iowa","CUSTODIAN II","BUCHANAN",41049
"41050","University of Northern Iowa","CUSTODIAN II","BUTLER",41050
"41051","University of Northern Iowa","CUSTODIAN II","DELAWARE",41051
"41052","University of Northern Iowa","CUSTODIAN II","GRUNDY",41052
"41053","University of Northern Iowa","CUSTODIAN II","SHAWNEE",41053
"41054","University of Northern Iowa","CUSTODIAN II","SHEBOYGAN",41054
"41055","University of Northern Iowa","CUSTOMER SERVICE SPECI","BLACK HAWK",41055
"41056","University of Northern Iowa","CUSTOMER SERVICE SPECI","JOHNSON",41056
"41057","University of Northern Iowa","DANCE TEAM ADVISOR","BLACK HAWK",41057
"41058","University of Northern Iowa","DATA ACCESS SYSTEMS AN","BLACK HAWK",41058
"41059","University of Northern Iowa","DATA ACCESS SYSTEMS AN","DALLAS",41059
"41060","University of Northern Iowa","DATA ANALYST","BLACK HAWK",41060
"41061","University of Northern Iowa","DATA ANALYST","PITT",41061
"41062","University of Northern Iowa","DATA ENTRY SPECIALIST","BERGEN",41062
"41063","University of Northern Iowa","DATA TECHNICIAN III","BLACK HAWK",41063
"41064","University of Northern Iowa","DATA WAREHOUSE DEVELOP","GRUNDY",41064
"41065","University of Northern Iowa","DATABASE ADMINISTRATOR","BLACK HAWK",41065
"41066","University of Northern Iowa","DATABASE ADMINISTRATOR","BOONE",41066
"41067","University of Northern Iowa","DATABASE ADMINISTRATOR","BREMER",41067
"41068","University of Northern Iowa","DATABASE ADMINISTRATOR","BUTLER",41068
"41069","University of Northern Iowa","DATABASE/INFO SYSTEMS","BLACK HAWK",41069
"41070","University of Northern Iowa","DEAN","BLACK HAWK",41070
"41071","University of Northern Iowa","DEAN & ASSOC PROFESSOR","BLACK HAWK",41071
"41072","University of Northern Iowa","DEAN & ASSOC PROFESSOR","BUTLER",41072
"41073","University of Northern Iowa","DEAN & INSTRUCTOR","BLACK HAWK",41073
"41074","University of Northern Iowa","DEAN & PROFESSOR","BLACK HAWK",41074
"41075","University of Northern Iowa","DEAN & PROFESSOR","BREMER",41075
"41076","University of Northern Iowa","DEAN & PROFESSOR","GRUNDY",41076
"41077","University of Northern Iowa","DEAN & PROFESSOR","LYON",41077
"41078","University of Northern Iowa","DEAN OF STUDENTS","BLACK HAWK",41078
"41079","University of Northern Iowa","DEAN OF STUDENTS","LINN",41079
"41080","University of Northern Iowa","DEFENSIVE COORDINATOR","BLACK HAWK",41080
"41081","University of Northern Iowa","DEPARTMENT HEAD & ASSO","BENTON",41081
"41082","University of Northern Iowa","DEPARTMENT HEAD & ASSO","BLACK HAWK",41082
"41083","University of Northern Iowa","DEPARTMENT HEAD & ASSO","GRUNDY",41083
"41084","University of Northern Iowa","DEPARTMENT HEAD & ASST","BENTON",41084
"41085","University of Northern Iowa","DEPARTMENT HEAD & PROF","BLACK HAWK",41085
"41086","University of Northern Iowa","DEPARTMENT HEAD & PROF","BUTLER",41086
"41087","University of Northern Iowa","DEPARTMENT HEAD & PROF","CALDWELL",41087
"41088","University of Northern Iowa","DEPARTMENT HEAD & PROF","CASS",41088
"41089","University of Northern Iowa","DEPARTMENT HEAD & PROF","DENVER",41089
"41090","University of Northern Iowa","DEPARTMENT HEAD & PROF","GRANT",41090
"41091","University of Northern Iowa","DEPARTMENT HEAD & PROF","LA CROSSE",41091
"41092","University of Northern Iowa","DEPARTMENT HEAD & PROF","MORGAN",41092
"41093","University of Northern Iowa","DEPARTMENT HEAD & PROF","OSAGE",41093
"41094","University of Northern Iowa","DEPARTMENT HEAD & PROF","ST JOHNS",41094
"41095","University of Northern Iowa","DEPUTY ATHL DIRECTOR F","BLACK HAWK",41095
"41096","University of Northern Iowa","DEPUTY ATHL DIRECTOR/S","POLK",41096
"41097","University of Northern Iowa","DES MOINES BUREAU CHIE","POLK",41097
"41098","University of Northern Iowa","DESK ASSISTANT","ALLAMAKEE",41098
"41099","University of Northern Iowa","DESK ASSISTANT","BENTON",41099
"41100","University of Northern Iowa","DESK ASSISTANT","BLACK HAWK",41100
"41101","University of Northern Iowa","DESK ASSISTANT","CASS",41101
"41102","University of Northern Iowa","DESK ASSISTANT","CERRO GORDO",41102
"41103","University of Northern Iowa","DESK ASSISTANT","CLINTON",41103
"41104","University of Northern Iowa","DESK ASSISTANT","DALLAS",41104
"41105","University of Northern Iowa","DESK ASSISTANT","DELAWARE",41105
"41106","University of Northern Iowa","DESK ASSISTANT","DUBUQUE",41106
"41107","University of Northern Iowa","DESK ASSISTANT","FAYETTE",41107
"41108","University of Northern Iowa","DESK ASSISTANT","GALLATIN",41108
"41109","University of Northern Iowa","DESK ASSISTANT","HANCOCK",41109
"41110","University of Northern Iowa","DESK ASSISTANT","HARDIN",41110
"41111","University of Northern Iowa","DESK ASSISTANT","HENNEPIN",41111
"41112","University of Northern Iowa","DESK ASSISTANT","JOHNSON",41112
"41113","University of Northern Iowa","DESK ASSISTANT","KANE",41113
"41114","University of Northern Iowa","DESK ASSISTANT","KEOKUK",41114
"41115","University of Northern Iowa","DESK ASSISTANT","LAKE",41115
"41116","University of Northern Iowa","DESK ASSISTANT","LINN",41116
"41117","University of Northern Iowa","DESK ASSISTANT","MADISON",41117
"41118","University of Northern Iowa","DESK ASSISTANT","MARSHALL",41118
"41119","University of Northern Iowa","DESK ASSISTANT","MUSCATINE",41119
"41120","University of Northern Iowa","DESK ASSISTANT","POLK",41120
"41121","University of Northern Iowa","DESK ASSISTANT","SCOTT",41121
"41122","University of Northern Iowa","DESK ASSISTANT","TAMA",41122
"41123","University of Northern Iowa","DESK ASSISTANT","VAN BUREN",41123
"41124","University of Northern Iowa","DESK ASSISTANT","WARREN",41124
"41125","University of Northern Iowa","DESK ASSISTANT","WAYNE",41125
"41126","University of Northern Iowa","DESK ASSISTANT","WOODBURY",41126
"41127","University of Northern Iowa","DEVELOPMENT & PUBLIC R","BLACK HAWK",41127
"41128","University of Northern Iowa","DEVELOPMENT & PUBLIC R","BUTLER",41128
"41129","University of Northern Iowa","DEVELOPMENT & PUBLIC R","JEFFERSON",41129
"41130","University of Northern Iowa","DEVELOPMENT ASSISTANT","HARRISON",41130
"41131","University of Northern Iowa","DEVELOPMENT COMMUNICAT","BLACK HAWK",41131
"41132","University of Northern Iowa","DEVELOPMENT REPRESENTA","BLACK HAWK",41132
"41133","University of Northern Iowa","DEVELOPMENT REPRESENTA","DALLAS",41133
"41134","University of Northern Iowa","DEVELOPMENT RESEARCHER","BUCHANAN",41134
"41135","University of Northern Iowa","DIGITAL DESIGN ASSISTA","BLACK HAWK",41135
"41136","University of Northern Iowa","DIGITAL DESIGN ASSISTA","DELAWARE",41136
"41137","University of Northern Iowa","DIGITAL DESIGN ASSISTA","LINN",41137
"41138","University of Northern Iowa","DIGITAL DESIGN ASSISTA","MITCHELL",41138
"41139","University of Northern Iowa","DIGITAL SCHOLARSHIP LI","BLACK HAWK",41139
"41140","University of Northern Iowa","DINING ASSISTANT","ADAMS",41140
"41141","University of Northern Iowa","DINING ASSISTANT","ALLAMAKEE",41141
"41142","University of Northern Iowa","DINING ASSISTANT","ANOKA",41142
"41143","University of Northern Iowa","DINING ASSISTANT","APPANOOSE",41143
"41144","University of Northern Iowa","DINING ASSISTANT","BENTON",41144
"41145","University of Northern Iowa","DINING ASSISTANT","BLACK HAWK",41145
"41146","University of Northern Iowa","DINING ASSISTANT","BOONE",41146
"41147","University of Northern Iowa","DINING ASSISTANT","BREMER",41147
"41148","University of Northern Iowa","DINING ASSISTANT","BUCHANAN",41148
"41149","University of Northern Iowa","DINING ASSISTANT","BUENA VISTA",41149
"41150","University of Northern Iowa","DINING ASSISTANT","BUTLER",41150
"41151","University of Northern Iowa","DINING ASSISTANT","CALHOUN",41151
"41152","University of Northern Iowa","DINING ASSISTANT","CARROLL",41152
"41153","University of Northern Iowa","DINING ASSISTANT","CASS",41153
"41154","University of Northern Iowa","DINING ASSISTANT","CEDAR",41154
"41155","University of Northern Iowa","DINING ASSISTANT","CERRO GORDO",41155
"41156","University of Northern Iowa","DINING ASSISTANT","CHEROKEE",41156
"41157","University of Northern Iowa","DINING ASSISTANT","CHICKASAW",41157
"41158","University of Northern Iowa","DINING ASSISTANT","CLARKE",41158
"41159","University of Northern Iowa","DINING ASSISTANT","CLAY",41159
"41160","University of Northern Iowa","DINING ASSISTANT","CLAYTON",41160
"41161","University of Northern Iowa","DINING ASSISTANT","CLINTON",41161
"41162","University of Northern Iowa","DINING ASSISTANT","COOK",41162
"41163","University of Northern Iowa","DINING ASSISTANT","CRAWFORD",41163
"41164","University of Northern Iowa","DINING ASSISTANT","DAKOTA",41164
"41165","University of Northern Iowa","DINING ASSISTANT","DALLAS",41165
"41166","University of Northern Iowa","DINING ASSISTANT","DANE",41166
"41167","University of Northern Iowa","DINING ASSISTANT","DAVIS",41167
"41168","University of Northern Iowa","DINING ASSISTANT","DELAWARE",41168
"41169","University of Northern Iowa","DINING ASSISTANT","DICKINSON",41169
"41170","University of Northern Iowa","DINING ASSISTANT","DUBUQUE",41170
"41171","University of Northern Iowa","DINING ASSISTANT","FAIRBANKS N",41171
"41172","University of Northern Iowa","DINING ASSISTANT","FAYETTE",41172
"41173","University of Northern Iowa","DINING ASSISTANT","FLOYD",41173
"41174","University of Northern Iowa","DINING ASSISTANT","FRANKLIN",41174
"41175","University of Northern Iowa","DINING ASSISTANT","GREENE",41175
"41176","University of Northern Iowa","DINING ASSISTANT","GRUNDY",41176
"41177","University of Northern Iowa","DINING ASSISTANT","GUTHRIE",41177
"41178","University of Northern Iowa","DINING ASSISTANT","HANCOCK",41178
"41179","University of Northern Iowa","DINING ASSISTANT","HARDIN",41179
"41180","University of Northern Iowa","DINING ASSISTANT","HARRISON",41180
"41181","University of Northern Iowa","DINING ASSISTANT","HENNEPIN",41181
"41182","University of Northern Iowa","DINING ASSISTANT","HENRY",41182
"41183","University of Northern Iowa","DINING ASSISTANT","HOUSTON",41183
"41184","University of Northern Iowa","DINING ASSISTANT","HUMBOLDT",41184
"41185","University of Northern Iowa","DINING ASSISTANT","IDA",41185
"41186","University of Northern Iowa","DINING ASSISTANT","IOWA",41186
"41187","University of Northern Iowa","DINING ASSISTANT","JACKSON",41187
"41188","University of Northern Iowa","DINING ASSISTANT","JASPER",41188
"41189","University of Northern Iowa","DINING ASSISTANT","JEFFERSON",41189
"41190","University of Northern Iowa","DINING ASSISTANT","JOHNSON",41190
"41191","University of Northern Iowa","DINING ASSISTANT","JONES",41191
"41192","University of Northern Iowa","DINING ASSISTANT","KANE",41192
"41193","University of Northern Iowa","DINING ASSISTANT","KEOKUK",41193
"41194","University of Northern Iowa","DINING ASSISTANT","KOSSUTH",41194
"41195","University of Northern Iowa","DINING ASSISTANT","LA CROSSE",41195
"41196","University of Northern Iowa","DINING ASSISTANT","LAKE",41196
"41197","University of Northern Iowa","DINING ASSISTANT","LANCASTER",41197
"41198","University of Northern Iowa","DINING ASSISTANT","LEE",41198
"41199","University of Northern Iowa","DINING ASSISTANT","LINN",41199
"41200","University of Northern Iowa","DINING ASSISTANT","MADISON",41200
"41201","University of Northern Iowa","DINING ASSISTANT","MAHASKA",41201
"41202","University of Northern Iowa","DINING ASSISTANT","MARION",41202
"41203","University of Northern Iowa","DINING ASSISTANT","MARSHALL",41203
"41204","University of Northern Iowa","DINING ASSISTANT","MAUI",41204
"41205","University of Northern Iowa","DINING ASSISTANT","MCLEAN",41205
"41206","University of Northern Iowa","DINING ASSISTANT","MITCHELL",41206
"41207","University of Northern Iowa","DINING ASSISTANT","MONONA",41207
"41208","University of Northern Iowa","DINING ASSISTANT","MONROE",41208
"41209","University of Northern Iowa","DINING ASSISTANT","MORRIS",41209
"41210","University of Northern Iowa","DINING ASSISTANT","MUSCATINE",41210
"41211","University of Northern Iowa","DINING ASSISTANT","NEW YORK",41211
"41212","University of Northern Iowa","DINING ASSISTANT","O BRIEN",41212
"41213","University of Northern Iowa","DINING ASSISTANT","OUTAGAMIE",41213
